"","word","root","regularity","sbtlx.freq","sbtlx.basefreq","sbtlx.pformbase","OLD","length.squared","n.syll"
"1","abandoned","abandon","regular",650,1138,0.571177504393673,3.55,81,3
"8","abridged","abridge","regular",7,10,0.7,2.85,64,2
"18","accepted","accept","regular",780,4296,0.181564245810056,2.7,64,3
"25","accosted","accost","regular",33,41,0.804878048780488,2.7,64,3
"27","accredited","credit","regular",16,2579,0.0062039550213261,3.6,100,4
"28","accrued","accrue","regular",12,19,0.631578947368421,2.65,49,2
"33","accused","accuse","regular",655,1499,0.436957971981321,2.35,49,2
"34","accustomed","accustom","regular",143,155,0.92258064516129,3.65,100,3
"38","acquired","acquire","regular",222,404,0.54950495049505,2.6,64,2
"40","acted","act","regular",541,17694,0.0305753362721827,1.95,25,2
"41","activated","act","regular",212,17694,0.0119814626427037,2.7,81,4
"43","wondered","wonder","regular",747,17019,0.0438921205711264,2.25,64,2
"44","wooded","wood","regular",17,2676,0.00635276532137519,1.85,36,2
"46","worded","word","regular",14,17550,0.000797720797720798,1.85,36,2
"47","wore","wear","irregular",1056,8530,0.12379835873388,1,16,1
"48","worked","work","regular",5757,64201,0.0896715004439183,1.8,36,1
"49","worried","worry","regular",4770,20674,0.230724581600077,2.2,49,2
"52","worsted","worst","regular",6,2775,0.00216216216216216,2.15,49,2
"53","wound","wind","irregular",1316,4662,0.282282282282282,1.55,25,1
"54","wounded","wound","regular",937,1649,0.568223165554882,1.7,49,2
"55","wove","weave","irregular",12,186,0.0645161290322581,1.5,16,1
"56","woven","wove","irregular",31,31,1,1.8,25,2
"58","wrapped","wrap","regular",575,1690,0.340236686390533,1.85,49,1
"62","wretched","wretch","regular",170,268,0.634328358208955,2.25,64,2
"66","wronged","wrong","regular",53,26012,0.00203752114408734,2.25,49,1
"70","yelled","yell","regular",309,2389,0.129342821264127,1.8,36,1
"86","whitened","white","regular",1,6549,0.000152695067949305,2.65,64,2
"92","willed","will","regular",28,99626,0.000281051131230803,1.65,36,1
"95","winded","wind","regular",17,4662,0.00364650364650365,1.75,36,2
"100","wired","wire","regular",374,2319,0.161276412246658,1.6,25,1
"101","wished","wish","regular",415,13100,0.0316793893129771,1.8,36,1
"103","witnessed","witness","regular",286,3731,0.0766550522648084,3.2,81,2
